matches,proximity,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15
11,9.46,1,3,4,6,10,11,12,16,18,19,20,22,23,24,25
12,9.46,3,4,6,8,9,10,11,12,16,18,19,20,22,24,25
11,9.45,1,4,6,9,10,11,12,13,16,18,19,20,22,24,25
11,9.44,1,2,3,4,6,8,10,11,16,18,19,20,22,24,25
11,9.43,3,4,5,6,8,9,10,11,16,18,19,20,22,24,25
11,9.41,1,3,6,8,9,10,11,12,13,16,18,19,20,24,25
11,9.41,3,4,6,10,11,12,13,16,18,19,20,21,22,24,25
12,9.4,1,3,4,9,10,11,12,14,16,18,19,20,22,24,25
12,9.4,1,3,6,9,10,11,12,13,16,18,19,20,22,24,25
11,9.4,2,4,6,8,10,11,12,16,18,19,20,22,23,24,25
12,9.4,2,3,4,6,8,9,10,11,16,18,19,20,22,24,25
11,9.39,1,3,4,8,9,10,11,12,16,18,19,20,21,24,25
12,9.39,3,6,8,9,10,11,12,16,18,19,20,22,23,24,25
12,9.38,3,4,8,10,11,12,13,15,16,18,19,20,22,24,25
11,9.38,2,3,4,6,8,10,11,12,13,16,18,19,20,22,25
11,9.38,3,4,6,8,9,10,12,14,16,18,19,20,22,24,25
12,9.38,4,6,9,10,11,12,13,15,16,18,19,20,22,24,25
11,9.38,1,3,4,6,7,10,11,12,13,16,18,20,22,24,25
11,9.38,3,4,5,8,9,10,11,12,13,16,19,20,22,24,25
11,9.37,4,5,6,10,11,12,13,15,16,18,19,20,22,24,25
12,9.37,1,3,6,10,11,12,13,15,16,18,19,20,22,24,25
11,9.37,3,4,6,8,9,10,11,13,15,16,18,20,22,24,25
11,9.37,1,3,8,10,11,12,14,16,18,19,20,22,23,24,25
13,9.37,3,4,8,9,10,11,12,15,16,18,19,20,22,24,25
11,9.37,1,3,4,8,9,10,11,14,15,16,19,20,22,24,25
11,9.37,1,2,3,6,8,10,11,12,13,16,18,19,20,24,25
11,9.37,1,3,6,9,10,11,12,14,16,19,20,22,23,24,25
11,9.37,1,3,4,8,9,10,11,12,16,18,19,20,21,22,25
11,9.37,6,8,9,10,11,12,14,16,18,19,20,22,23,24,25
11,9.37,1,3,6,7,8,10,11,16,18,19,20,22,23,24,25
12,9.36,2,3,4,6,10,11,12,16,18,19,20,21,22,24,25
11,9.36,2,4,5,6,8,9,10,11,12,16,18,19,20,24,25
11,9.36,1,2,3,4,6,8,10,11,15,16,18,19,20,22,25
